fr,en
avec cassie qui recrute sunny et nephis qui recrute shadow on va peut etre avoir une cohorte avec double sunny dedans ca peut etre tres drole,with cassie who recruits sunny and nephis who recruits shadow we can be having a cohort with double sunny in it can be very funny
c bon en fait,c actually good
je sais meme pas de quoi il parle,i do not even know what he is talking about
httpstenorcomviewreally-benjamin-lupo-drlupo-stare-are-you-sure-gif-,httpstenorcomviewreally-benjamin-lupo-drlupo-stare-are-you-sure-gif-
httpstenorcomviewside-eye-dog-suspicious-look-suspicious-doubt-dog-doubt-gif-,httpstenorcomviewside-eye-dog-suspicious-look-suspicious-doubt-dog-doubt-gif-
c'est pour un ami rigole,it is for a funny friend
qqun a le fanart de kai en mode oshi no ko svp,qqun has kai fanart in oshi no ko mode please
ca fait longtemps que j'avais pas aussi peu compris le nom d'un chap de ss,it is been a long time since i understood the name of a ss chap
je comprends pas pq le chap s'appelle les princes de l'univers,i do not understand the chap is called the princes of the universe
jai apprecier ces chapitre et la maniere do not sunny a perdu etait classe je trouve,i learned these chapters and the way do not sunny lost was classy i find
httpstenorcomviewmy-pleasure-mad-men-no-problem-gif-,httpstenorcomviewmy-pleasure-mad-men-no-problem-gif-
merci gray nephis,thank you gray nephis
il faut laisser couler les chapitres,we must let the chapters flow
lellipse sert a ca,ellipse serves this
la cest le meilleur moment de luvre pour faire une big pause,this is the best time of work to make a big break
je sais je lai vecu plusieurs fois,i know i left several times
vraiment bonne chance,really good luck
way,way
au moins jusquau chapitre,at least to the chapter
je tiendrai le coup nephis,i will hold the nephis
il va lui en falloir beaucoup,he will need a lot
bonne chance,good luck
merci pepethankful,thank you pepethankful
courage,courage
orispawnkill,oripawnkill
et dire que jai prevu de laisser passer au moins quelques mois,and said that i planned to let go at least a few months
sachez que cest vraiment difficile de se retenir de lire shadow slave,know that it is really difficult to refrain from reading slavic shadow
gg,gg
je suis a jouuur enfiiiiin,i am in trouble
en lisant un truc comme ca n'importe quel eveille devient une elite shibalaugh,reading something like that any wake becomes an elite shibalaugh
nan mm pas sur la theorie du combat shibalaugh,nan mm not on the theory of fighting shibalaugh
pikawow les chap sur le combat,pikawow the chapters on combat
et neph tjrs aussi op,and neph tjrs also op
thanks pour les chaps gray,thanks for gray chaps
j'ose mm pas imaginer celui de anvil il doit etre surpuissant,i dare not imagine that of anvil it must be overpowering
toute la reflexion sur l'art du combat,all the reflection on the art of combat
il a assez souffert le pauvre,he is suffered enough poor man
perso j'aurais profiter d'etre sur anemone pour voir ce que ca fait de perdre une ombre joyeuse lugubre une ombre sainte fielon ptetre meme reregarde la tapisserie du destin mais ca s'apparenterait a du masochisme a un moment quand mm,personal i would have taken advantage of being on anemone to see what it feels like to lose a happy shadow drowsy a holy shadow ptere fielon even look at the tapestry of destiny but it would be like masochism at a time when mm
quand mordret perdait un reflet il perdait un noyau comme quand sunny se faisait detruire une ombre sur l'ile du troisieme cauchemar,when biting lost a reflection he lost a nucleus as when sunny was destroying a shadow on the island of the third nightmare
en vrai on sait pas vraiment ce que ca fait juste on suppose,we do not really know what it is like to just assume
tu perds le noyau et les fragments accumules,you lose the core and the fragments accumulated
si t'es une terreur avec tu redeviens un tyran avec je pense,if you are a terror with you again becoming a tyrant with me
bah si,yeah
tu dpois le reformer complet,you will have to reform it completely
mais du coup au final tu perd pas vraiment de noyau,but then you do not really lose the core
tu reviens a,you are back
si jamais un possesseur d'attribut divin a noyaux et par exemple est-ce que la perte d'un noyau se transforme en ou en,if ever a possessor of divine attribute a nuclei and for example does the loss of a kernel turn into or into
donc peut-etre nous donner des infos sur mordret mais je pense pas que mordret va nous raconter le combat,so maybe give us some info on mortret but i do not think mortret will tell us the fight
il espionne il me semble,he is spying on me
mais le changement de pov ce fera quand neph va comprendre qqchose,but the change of pov will do when neph understands what
l'avatar de rain se balade,the avatar of groove walks
donc je pense l'avatar qui suit rain,so i think the avatar that follows rain
il doit pas y avoir d'avatar pour mordret,there must be no avatar to bite
mordret pour nous expliquer son combat,bite to explain his fight
sur rain ou mordret,on groove or bitrate
mais par contre je serai pas etonne que le soit un pov ravenheart,but i will not be surprised if it is a pov ravenheart
le n'a pas une assez grosse revelation pour qu'on change de pov sur le,it does not have a big enough revelation to change pov on the
je pense a un truc comme sa aussi mais cest juste que avec le tps on commence a connaitre g,i think of something like her too but it is just that with the tps we are starting to know g
theorie mon reuf,theoriee my reuf
je spoil pas,i am not spoiling
dwayneeyebrow,dwayneeyebrow
t'as l'air bcp trop renseigne,you look bcp too informative
et que du coup on laisse le combat comme il est mtn,and then we leave the fight as it is mtn
et que ca soit vraiment trop important a raconter,and it is really too important to tell
ca serait dommage que tt d'un coup il se passe un truc un petit peu important dans la vie du eme avatar,it would be a shame if suddenly something a little important happened in the life of the same avatar
je pense tt le monde,i think the world
j'ai hate pour le combat entre nephis et sunny ce soir,i have hate for the nephis-sunny fight tonight
vu le mastermind que cassie est je pense que elle avait prevu,seeing the mastermind that cassie is i think she had planned
donc elle avait lintention de reprendre contact et de se battre a ses cotes,so she intended to get back in touch and fight at her side
psq cassie dans le tombeau dis bien quelle veut que sunny soit son arme contre le destin,psq cassie in the tomb say well what sunny wants to be his weapon against destiny
mais sinon oui t'as cook,but if not yes you did
ouais jpense aussi,yeah i think so too
bah ya deja des gens qui avaient drop cette theorie,bah there are already people who had dropped this theory
